epoch,step,min,max,mean,std
1,1000,-0.008824066258966923,0.0,-0.004530657082796097,0.0037118494510650635
2,2000,-0.014295506291091442,0.00034535129088908434,-0.00334549555554986,0.0028081138152629137
3,3000,-0.012428997084498405,0.002375130308791995,-0.0071561699733138084,0.005056146532297134
4,4000,-0.014084137044847012,0.018486464396119118,0.0008694197167642415,0.004670748952776194
5,5000,-0.025351719930768013,0.01489073783159256,0.004727480001747608,0.01211249828338623
6,6000,-0.03144140541553497,0.05386286601424217,-0.009437793865799904,0.025769824162125587
7,7000,-0.08588317036628723,0.055613696575164795,0.023920709267258644,0.03580287843942642
8,8000,-0.02705514430999756,0.025780627503991127,-0.007724588271230459,0.015029096975922585
9,9000,-0.023385480046272278,0.0649363249540329,0.0006172197754494846,0.023168127983808517
10,10000,-0.10757309198379517,0.041968703269958496,0.010224607773125172,0.04143546149134636
