epoch,step,min,max,mean,std
1,1000,-0.039999984204769135,0.0,-0.019999992102384567,0.019999992102384567
2,2000,-0.019999997690320015,0.0,-0.009999998845160007,0.009999998845160007
3,3000,-0.03999999538064003,0.0,-0.019999997690320015,0.019999997690320015
4,4000,0.0,1.862645149230957e-09,9.313225746154785e-10,9.313225746154785e-10
5,5000,0.0,0.04406645894050598,0.02203322947025299,0.02203322947025299
6,6000,-0.09165710210800171,0.0,-0.045828551054000854,0.045828551054000854
7,7000,0.0,0.1599999964237213,0.07999999821186066,0.07999999821186066
8,8000,-0.05817992240190506,0.0,-0.02908996120095253,0.02908996120095253
9,9000,-0.04278564453125,0.0,-0.021392822265625,0.021392822265625
10,10000,0.0,0.11645933985710144,0.05822966992855072,0.05822966992855072
