epoch,step,min,max,mean,std
1,1000,-3.3583784103393555,0.0,-0.9154047966003418,1.3911343812942505
2,2000,-6.56471586227417,0.6591383218765259,-1.8362690210342407,2.809600830078125
3,3000,-6.239660739898682,1.047144889831543,-1.7122677564620972,2.713329792022705
4,4000,0.0,1.4381126165390015,0.4274064898490906,0.6005294919013977
5,5000,0.0,2.3540868759155273,0.7032730579376221,0.9740273356437683
6,6000,-0.10699068754911423,0.5706331133842468,0.10852073132991791,0.15744639933109283
7,7000,0.0,6.482857704162598,1.8973000049591064,2.707897663116455
8,8000,-7.18687105178833,0.5077493786811829,-2.0349631309509277,3.065239429473877
9,9000,-1.104810118675232,0.8039980530738831,-0.1639421582221985,0.28885015845298767
10,10000,0.0,2.966460943222046,0.9207091331481934,1.22494375705719
