epoch,step,min,max,mean,std
1,1000,-0.8826972246170044,0.4515801966190338,-0.1296873837709427,0.19278977811336517
2,2000,-1.5581897497177124,1.0144926309585571,-0.19573473930358887,0.3823340833187103
3,3000,-2.008511543273926,1.490333080291748,-0.26367390155792236,0.4878910183906555
4,4000,-4.466553688049316,2.3058323860168457,0.0665212869644165,0.709628701210022
5,5000,-3.991795301437378,4.861454010009766,0.02282421663403511,0.8815602660179138
6,6000,-6.290422439575195,3.9575579166412354,-0.2589256763458252,1.08772873878479
7,7000,-2.9161486625671387,4.205127239227295,0.13003334403038025,0.7591695785522461
8,8000,-3.9628312587738037,2.639043092727661,-0.016980867832899094,0.7130930423736572
9,9000,-5.532259464263916,5.546103000640869,-0.4724765419960022,0.9947932958602905
10,10000,-4.637578010559082,8.292021751403809,-0.1047339215874672,1.121229648590088
