epoch,step,min,max,mean,std
1,1000,-0.5625,0.0,-0.28125,0.28125
2,2000,-0.1875,0.0,-0.09375,0.09375
3,3000,-0.25,0.0,-0.125,0.125
4,4000,0.0,0.1875,0.09375,0.09375
5,5000,-0.0625,0.0,-0.03125,0.03125
6,6000,-0.0625,0.0,-0.03125,0.03125
7,7000,0.0,0.0625,0.03125,0.03125
8,8000,-0.0625,0.0,-0.03125,0.03125
9,9000,-0.1875,0.0,-0.09375,0.09375
10,10000,-0.0625,0.0,-0.03125,0.03125
