epoch,step,min,max,mean,std
1,1000,-9.32762622833252,0.0,-2.1268835067749023,3.5445845127105713
2,2000,-7.424637317657471,0.0,-1.7564358711242676,2.923516035079956
3,3000,-15.14963150024414,0.002006001304835081,-3.6421539783477783,6.060636520385742
4,4000,0.0,1.218644618988037,0.2713032364845276,0.43380969762802124
5,5000,-0.7502337694168091,6.962695121765137,1.6958160400390625,2.8608803749084473
6,6000,-6.456313133239746,0.23796167969703674,-1.5614310503005981,2.611288070678711
7,7000,-0.001223936676979065,1.5998075008392334,0.40542659163475037,0.6329958438873291
8,8000,-0.3385871648788452,0.41664987802505493,0.0839308574795723,0.16670268774032593
9,9000,-19.286922454833984,0.19227652251720428,-4.737061500549316,7.897608280181885
10,10000,-8.339673042297363,0.3526522219181061,-2.018796443939209,3.409343957901001
