epoch,step,min,max,mean,std
1,1000,-0.0994967520236969,0.0,-0.024264905601739883,0.02509417198598385
2,2000,-0.09688585996627808,0.010173737071454525,-0.017855364829301834,0.020172368735074997
3,3000,-0.1259295642375946,0.07362060993909836,-0.036382779479026794,0.03754756599664688
4,4000,-0.06411953270435333,0.07009445875883102,0.004603871144354343,0.01605462282896042
5,5000,-0.04606227949261665,0.09291059523820877,0.015804996713995934,0.022054903209209442
6,6000,-0.1030743196606636,0.0799543559551239,-0.012797300703823566,0.02567005529999733
7,7000,-0.0577736534178257,0.05676960200071335,0.003578083822503686,0.01412168052047491
8,8000,-0.04574817046523094,0.053658533841371536,0.0005698282620869577,0.01083935983479023
9,9000,-0.17152629792690277,0.16370484232902527,-0.03538309782743454,0.0620054192841053
10,10000,-0.10403333604335785,0.10744746774435043,-0.016101498156785965,0.030678359791636467
