epoch,step,min,max,mean,std
1,1000,-0.09943228960037231,0.0,-0.040763042867183685,0.03924136236310005
2,2000,-0.045488085597753525,0.0,-0.020121395587921143,0.019113820046186447
3,3000,-0.0675753653049469,0.036650463938713074,-0.030110599473118782,0.029347117990255356
4,4000,-0.04834138602018356,0.0553206130862236,0.023961057886481285,0.026053758338093758
5,5000,-0.01973092369735241,0.04633212834596634,-0.006482022814452648,0.01387115940451622
6,6000,-0.02058333531022072,0.015966415405273438,-0.008066626265645027,0.011131566017866135
7,7000,-0.021481523290276527,0.021108200773596764,0.007713220082223415,0.01238985639065504
8,8000,-0.021452931687235832,0.034744277596473694,-0.0066200667060911655,0.014572739601135254
9,9000,-0.06499265134334564,0.06202903762459755,-0.023147357627749443,0.038480885326862335
10,10000,-0.04296378791332245,0.03224528580904007,-0.009050771594047546,0.01346348226070404
